course_name,course_code,level,faculty,url,sdg_1,sdg_2,sdg_3,sdg_4,sdg_5,sdg_6,sdg_7,sdg_8,sdg_9,sdg_10,sdg_11,sdg_12,sdg_13,sdg_14,sdg_15,sdg_16,sdg_17
Computational Continuum Mechanics,5.342.487,Master,External institution,https://studiegids.tudelft.nl/courses/study-guide/educations/22180,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Final Disposal and Projects,5.345.471,Master,External institution,https://studiegids.tudelft.nl/courses/study-guide/educations/22185,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Neotectonics and Earthquake Geology,5.349.932,Master,External institution,https://studiegids.tudelft.nl/courses/study-guide/educations/22189,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fieldwork: Geophysical Logging and Log Interpretation,5.350.132,Master,External institution,https://studiegids.tudelft.nl/courses/study-guide/educations/22175,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Research Module in Applied Geophysics,5.412.000,Master,External institution,https://studiegids.tudelft.nl/courses/study-guide/educations/22181,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Modeling and Inversion for multi-method Geophysics,5.412.003,Master,External institution,https://studiegids.tudelft.nl/courses/study-guide/educations/22177,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5000MFS23 Bootcamp,5000MFS23,Bachelor,External institution,https://studiegids.tudelft.nl/courses/study-guide/educations/23429,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Frugal Innovation in Practice,5000MFS24,Bachelor,External institution,https://studiegids.tudelft.nl/courses/study-guide/educations/23430,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Capturing Frugal Innovation,5000MFS25,Bachelor,External institution,https://studiegids.tudelft.nl/courses/study-guide/educations/23431,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Reflection Seismology Processing,651-4079-00L,Master,External institution,https://studiegids.tudelft.nl/courses/study-guide/educations/22155,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Case Studies in Exploration and Environmental Geophysics,651-4087-01L,Master,External institution,https://studiegids.tudelft.nl/courses/study-guide/educations/22161,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Numerical Modelling for Applied Geophyscics,651-4094-00L,Master,External institution,https://studiegids.tudelft.nl/courses/study-guide/educations/22158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Inverse Theory I: Basics,651-4096-00L,Master,External institution,https://studiegids.tudelft.nl/courses/study-guide/educations/22159,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Inverse Theory II: Applications,651-4096-02L,Master,External institution,https://studiegids.tudelft.nl/courses/study-guide/educations/22162,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Geophysical Field Work and Processing: Methods,651-4104-00L,Master,External institution,https://studiegids.tudelft.nl/courses/study-guide/educations/22156,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Geophysical Field Work & Processing: Preparation and Field Work,651-4106-03L,Master,External institution,https://studiegids.tudelft.nl/courses/study-guide/educations/22157,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Geothermal Energy,651-4109-00L,Master,External institution,https://studiegids.tudelft.nl/courses/study-guide/educations/22163,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Computational Methods in Seismic Data Analysis and Imaging,651-4110-00L,Master,External institution,https://studiegids.tudelft.nl/courses/study-guide/educations/22164,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Geofluids,651-4240-00L,Master,External institution,https://studiegids.tudelft.nl/courses/study-guide/educations/22165,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mathematics V: Applied Deepening of Mathematics I-III,701-0106-00L,Master,External institution,https://studiegids.tudelft.nl/courses/study-guide/educations/22166,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Economics of Technological Diffusion,8.118.471,Master,External institution,https://studiegids.tudelft.nl/courses/study-guide/educations/22201,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Instability and (In)securities: A case study of crisis,8910PRD01,Bachelor,External institution,https://studiegids.tudelft.nl/courses/study-guide/educations/23426,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Disaster Studies,8910PRD02,Bachelor,External institution,https://studiegids.tudelft.nl/courses/study-guide/educations/23427,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Climate Change as a Political Challenge: Can We Prevent Disaster?,8910PRD03,Bachelor,External institution,https://studiegids.tudelft.nl/courses/study-guide/educations/23428,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Aerospace Materials,AE1108-I,Bachelor,Aerospace Engineering,https://studiegids.tudelft.nl/courses/study-guide/educations/20590,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Aerospace Mechanics of Materials,AE1108-II,Bachelor,Aerospace Engineering,https://studiegids.tudelft.nl/courses/study-guide/educations/20591,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Introduction to Aerospace Engineering I,AE1110-I,Bachelor,Aerospace Engineering,https://studiegids.tudelft.nl/courses/study-guide/educations/20592,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Introduction to Aerospace Engineering II,AE1110-II,Bachelor,Aerospace Engineering,https://studiegids.tudelft.nl/courses/study-guide/educations/20593,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Introduction to Aerospace Engineering I,AE1110-M,Bachelor,Aerospace Engineering,https://studiegids.tudelft.nl/courses/study-guide/educations/3657,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Exploring Aerospace Engineering,AE1111-I,Bachelor,Aerospace Engineering,https://studiegids.tudelft.nl/courses/study-guide/educations/20594,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Engineering Drawing,AE1111-II,Bachelor,Aerospace Engineering,https://studiegids.tudelft.nl/courses/study-guide/educations/20595,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mentor Programme,AE1111-III,Bachelor,Aerospace Engineering,https://studiegids.tudelft.nl/courses/study-guide/educations/20596,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Statics,AE1130-I,Bachelor,Aerospace Engineering,https://studiegids.tudelft.nl/courses/study-guide/educations/20597,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dynamics,AE1130-II,Bachelor,Aerospace Engineering,https://studiegids.tudelft.nl/courses/study-guide/educations/20598,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Programming and Scientific Computing in Python for AE1,AE1205,Bachelor,Aerospace Engineering,https://studiegids.tudelft.nl/courses/study-guide/educations/20470,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Design en Construction,AE1222-I,Bachelor,Aerospace Engineering,https://studiegids.tudelft.nl/courses/study-guide/educations/20599,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aerospace Design en Systems Engineering Elements,AE1222-II,Bachelor,Aerospace Engineering,https://studiegids.tudelft.nl/courses/study-guide/educations/20600,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Physics,AE1241,Bachelor,Aerospace Engineering,https://studiegids.tudelft.nl/courses/study-guide/educations/20601,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Systems Design,AE2111-I,Bachelor,Aerospace Engineering,https://studiegids.tudelft.nl/courses/study-guide/educations/20602,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aerospace Design en Systems Engineering Elements,AE2111-II,Bachelor,Aerospace Engineering,https://studiegids.tudelft.nl/courses/study-guide/educations/20603,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aerodynamics I,AE2130-I,Bachelor,Aerospace Engineering,https://studiegids.tudelft.nl/courses/study-guide/educations/20604,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aerodynamics I,AE2130-I S,Bachelor,Aerospace Engineering,https://studiegids.tudelft.nl/courses/study-guide/educations/20460,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Low Speed Wind Tunnel Test,AE2130-II,Bachelor,Aerospace Engineering,https://studiegids.tudelft.nl/courses/study-guide/educations/20605,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aerodynamics II,AE2130-III,Bachelor,Aerospace Engineering,https://studiegids.tudelft.nl/courses/study-guide/educations/20606,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Structural Analysis en Design,AE2135-I,Bachelor,Aerospace Engineering,https://studiegids.tudelft.nl/courses/study-guide/educations/20607,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Structural Analysis and Design,AE2135-I S,Bachelor,Aerospace Engineering,https://studiegids.tudelft.nl/courses/study-guide/educations/20461,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Vibrations,AE2135-II,Bachelor,Aerospace Engineering,https://studiegids.tudelft.nl/courses/study-guide/educations/20608,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Applied Numerical Analysis,AE2220-I,Bachelor,Aerospace Engineering,https://studiegids.tudelft.nl/courses/study-guide/educations/20609,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
