Field name,Course code///Vakcode,Course name///Vaknaam,Link,Sustainable course?///Duurzaam vak?,Level///Niveau,Faculty///Faculteit,SDGs///SDG's
FALSE,AE2111-I,Systems Design,https://studiegids.tudelft.nl/courses/study-guide/educations/20602,No,BSc,Aerospace Engineering,[]
FALSE,AE2111-II,Aerospace Design en Systems Engineering Elements,https://studiegids.tudelft.nl/courses/study-guide/educations/20603,No,BSc,Aerospace Engineering,[]
FALSE,AE2130-I,Aerodynamics I,https://studiegids.tudelft.nl/courses/study-guide/educations/20604,No,BSc,Aerospace Engineering,[]
FALSE,AE2130-I S,Aerodynamics I,https://studiegids.tudelft.nl/courses/study-guide/educations/20460,No,BSc,Aerospace Engineering,[]
FALSE,AE2130-II,Low Speed Wind Tunnel Test,https://studiegids.tudelft.nl/courses/study-guide/educations/20605,No,BSc,Aerospace Engineering,[]
FALSE,AE2130-III,Aerodynamics II,https://studiegids.tudelft.nl/courses/study-guide/educations/20606,No,BSc,Aerospace Engineering,[]
FALSE,AE2135-I,Structural Analysis en Design,https://studiegids.tudelft.nl/courses/study-guide/educations/20607,No,BSc,Aerospace Engineering,[]
FALSE,AE2135-I S,Structural Analysis and Design,https://studiegids.tudelft.nl/courses/study-guide/educations/20461,No,BSc,Aerospace Engineering,[]
FALSE,AE2135-II,Vibrations,https://studiegids.tudelft.nl/courses/study-guide/educations/20608,No,BSc,Aerospace Engineering,[]
FALSE,AE2220-I,Applied Numerical Analysis,https://studiegids.tudelft.nl/courses/study-guide/educations/20609,No,BSc,Aerospace Engineering,[]
FALSE,AE2220-II,Computational Modelling,https://studiegids.tudelft.nl/courses/study-guide/educations/20610,No,BSc,Aerospace Engineering,[]
FALSE,AE2220-II S,Computational Modeling,https://studiegids.tudelft.nl/courses/study-guide/educations/20462,No,BSc,Aerospace Engineering,[]
TRUE,AE2224-I,"Test, Analysis en Simulation",https://studiegids.tudelft.nl/courses/study-guide/educations/20611,Yes,BSc,Aerospace Engineering,[4]
TRUE,AE2224-II,Artificial Intelligence for Aerospace Engineering,https://studiegids.tudelft.nl/courses/study-guide/educations/20612,Yes,BSc,Aerospace Engineering,"[13, 16]"
FALSE,AE2230-I,Flight en Orbital Mechanics,https://studiegids.tudelft.nl/courses/study-guide/educations/20613,No,BSc,Aerospace Engineering,[]
FALSE,AE2230-I S,Flight and Orbital Mechanics,https://studiegids.tudelft.nl/courses/study-guide/educations/20463,No,BSc,Aerospace Engineering,[]
TRUE,AE2230-II,Propulsion en Power,https://studiegids.tudelft.nl/courses/study-guide/educations/20614,Yes,BSc,Aerospace Engineering,"[7, 8, 9]"
FALSE,AE2235-I,Aerospace Systems en Control Theory,https://studiegids.tudelft.nl/courses/study-guide/educations/20615,No,BSc,Aerospace Engineering,[]
FALSE,AE2235-II,Signal Analysis and Telecommunication Principles,https://studiegids.tudelft.nl/courses/study-guide/educations/20616,No,BSc,Aerospace Engineering,[]
FALSE,AE3060,Exchange Period BSc,https://studiegids.tudelft.nl/courses/study-guide/educations/24520,No,BSc,Aerospace Engineering,[]
TRUE,AE3200,Design Synthesis,https://studiegids.tudelft.nl/courses/study-guide/educations/20617,Yes,BSc,Aerospace Engineering,"[4, 9, 12, 13]"
FALSE,AE3211-I,Systems Engineering en Aerospace Design,https://studiegids.tudelft.nl/courses/study-guide/educations/20788,No,BSc,Aerospace Engineering,[]
TRUE,AE3211-II,Production of Aerospace Systems,https://studiegids.tudelft.nl/courses/study-guide/educations/20789,Yes,BSc,Aerospace Engineering,"[9, 12, 13]"
FALSE,AE3212-I,"Aerospace Flight Dynamics en Simulation, including Flight Test",https://studiegids.tudelft.nl/courses/study-guide/educations/20790,No,BSc,Aerospace Engineering,[]
FALSE,AE3212-I S,Aerospace Flight Dynamics and Simulation,https://studiegids.tudelft.nl/courses/study-guide/educations/20465,No,BSc,Aerospace Engineering,[]
FALSE,AE3212-II,"Simulation, Verification en Validation",https://studiegids.tudelft.nl/courses/study-guide/educations/20791,No,BSc,Aerospace Engineering,[]
TRUE,AE3501-25,Air Transportation,https://studiegids.tudelft.nl/courses/study-guide/educations/21064,Yes,BSc,Aerospace Engineering,"[9, 12, 13]"
FALSE,AE3502-14,"Airport Planning, Design and Operations",https://studiegids.tudelft.nl/courses/study-guide/educations/20488,No,BSc,Aerospace Engineering,[]
FALSE,AE3503,Strategic Planning for Airport Systems,https://studiegids.tudelft.nl/courses/study-guide/educations/20489,No,BSc,Aerospace Engineering,[]
FALSE,AE3504,Group Assignment Responsible Risk Management for Airport Development,https://studiegids.tudelft.nl/courses/study-guide/educations/21065,No,BSc,Aerospace Engineering,[]
TRUE,AE3512-20,Asset Management,https://studiegids.tudelft.nl/courses/study-guide/educations/20481,Yes,BSc,Aerospace Engineering,"[7, 9, 13]"
TRUE,AE3513,Integration Assignment,https://studiegids.tudelft.nl/courses/study-guide/educations/20482,Yes,BSc,Aerospace Engineering,"[7, 13, 17]"
TRUE,AE3515,Basics of Aeroacoustics for Wind Energy,https://studiegids.tudelft.nl/courses/study-guide/educations/20483,Yes,BSc,Aerospace Engineering,"[7, 9, 13]"
TRUE,AE3516A,Fundamentals of Wind Energy I,https://studiegids.tudelft.nl/courses/study-guide/educations/20484,Yes,BSc,Aerospace Engineering,"[7, 8, 9, 13]"
TRUE,AE3516B,Fundamentals of Wind Energy II,https://studiegids.tudelft.nl/courses/study-guide/educations/20485,Yes,BSc,Aerospace Engineering,"[7, 9, 13]"
FALSE,AE3997,Educational Research Project BSc,https://studiegids.tudelft.nl/courses/study-guide/educations/24522,No,BSc,Aerospace Engineering,[]
TRUE,AE4006E,Sustainability in Engineering,https://studiegids.tudelft.nl/courses/study-guide/educations/20792,Yes,MSc,Aerospace Engineering,"[4, 5, 12, 13, 16, 17]"
TRUE,AE4010,Research Methodologies,https://studiegids.tudelft.nl/courses/study-guide/educations/20794,Yes,MSc,Aerospace Engineering,[4]
FALSE,AE4115-23,Experimental Simulations,https://studiegids.tudelft.nl/courses/study-guide/educations/20635,No,MSc,Aerospace Engineering,[]
FALSE,AE4117,Fluid-Structure Interaction,https://studiegids.tudelft.nl/courses/study-guide/educations/20795,No,MSc,Aerospace Engineering,[]
FALSE,AE4120,Viscous Flows,https://studiegids.tudelft.nl/courses/study-guide/educations/20636,No,MSc,Aerospace Engineering,[]
TRUE,AE4130-22,Aircraft Aerodynamics,https://studiegids.tudelft.nl/courses/study-guide/educations/20637,Yes,MSc,Aerospace Engineering,"[7, 9, 13]"
TRUE,AE4135,Rotor / wake Aerodynamics,https://studiegids.tudelft.nl/courses/study-guide/educations/20638,Yes,MSc,Aerospace Engineering,"[7, 9, 13]"
FALSE,AE4136-24,CFD 2: Discretisation Techniques,https://studiegids.tudelft.nl/courses/study-guide/educations/20639,No,MSc,Aerospace Engineering,[]
FALSE,AE4138-18,CFD 4: Uncertainty Quantification,https://studiegids.tudelft.nl/courses/study-guide/educations/20796,No,MSc,Aerospace Engineering,[]
FALSE,AE4139,CFD 3: Large Eddy Simulation,https://studiegids.tudelft.nl/courses/study-guide/educations/20797,No,MSc,Aerospace Engineering,[]
FALSE,AE4140,Gas Dynamics,https://studiegids.tudelft.nl/courses/study-guide/educations/20640,No,MSc,Aerospace Engineering,[]
FALSE,AE4143,Hypersonic Aerodynamics,https://studiegids.tudelft.nl/courses/study-guide/educations/20798,No,MSc,Aerospace Engineering,[]
FALSE,AE4180,Flow Measurement Techniques,https://studiegids.tudelft.nl/courses/study-guide/educations/20641,No,MSc,Aerospace Engineering,[]
